#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:69 out:70 type:b dur:2 cpbdur:2 q:37.76 aq:31.37 tex:47 mv:883 misc:670 imb:6 pmb:135 smb:1899 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:37.24 aq:32.69 tex:4472 mv:3425 misc:1607 imb:91 pmb:393 smb:1556 d:s ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:37.45 aq:35.58 tex:708 mv:1582 misc:1134 imb:11 pmb:241 smb:1788 d:s ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:37.56 aq:36.52 tex:79 mv:1075 misc:726 imb:0 pmb:166 smb:1874 d:s ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:37.35 aq:33.28 tex:91 mv:1145 misc:740 imb:4 pmb:151 smb:1885 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:36.79 aq:33.53 tex:1859 mv:1955 misc:1258 imb:32 pmb:266 smb:1742 d:s ref:0 ;
in:76 out:76 type:I dur:2 cpbdur:2 q:36.43 aq:30.45 tex:154348 mv:46399 misc:173 imb:2040 pmb:0 smb:0 d:s ref:;
in:80 out:77 type:P dur:2 cpbdur:2 q:39.03 aq:32.73 tex:3356 mv:2986 misc:1458 imb:34 pmb:400 smb:1606 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:39.03 aq:31.00 tex:45 mv:999 misc:716 imb:0 pmb:152 smb:1888 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:39.03 aq:32.52 tex:57 mv:938 misc:781 imb:1 pmb:159 smb:1880 d:t ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:39.03 aq:33.65 tex:80 mv:1378 misc:990 imb:3 pmb:248 smb:1789 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:38.59 aq:32.36 tex:7823 mv:4459 misc:1686 imb:67 pmb:530 smb:1443 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:38.81 aq:38.08 tex:101 mv:1540 misc:815 imb:1 pmb:182 smb:1857 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:38.92 aq:31.00 tex:34 mv:1217 misc:821 imb:1 pmb:178 smb:1861 d:t ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:38.70 aq:34.13 tex:163 mv:1295 misc:982 imb:0 pmb:235 smb:1805 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:38.15 aq:32.10 tex:10111 mv:4995 misc:1830 imb:73 pmb:655 smb:1312 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:38.37 aq:38.76 tex:207 mv:1736 misc:977 imb:3 pmb:220 smb:1817 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:38.48 aq:39.12 tex:64 mv:1217 misc:759 imb:2 pmb:158 smb:1880 d:t ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:38.26 aq:39.66 tex:66 mv:1383 misc:903 imb:3 pmb:222 smb:1815 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:38.71 aq:32.17 tex:9351 mv:4836 misc:1861 imb:66 pmb:640 smb:1334 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:38.43 aq:34.03 tex:253 mv:1478 misc:869 imb:1 pmb:187 smb:1852 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:38.29 aq:30.00 tex:54 mv:1019 misc:735 imb:0 pmb:148 smb:1892 d:t ref:0 ;
